Number of Cliques, Execution Time(Greedy), Execution Time(ILP)
6,0.0000927448272705078125, 0.0000245571136474609375
6,0.000113964080810546875, 0.0014081001281738281250
7,0.0001068115234375000000, 0.0017883777618408203125
7,0.0001714229583740234375, 0.0021073818206787109375
9,0.0002133846282958984375, 0.0027949810028076171875
12,0.000293254852294921875, 0.007218837738037109375
195,0.0494153499603271484375, 0.0483219623565673828125
268,0.100342750549316406250, 0.0683848857879638671875
272,0.0857102870941162109375, 0.061796188354492187500
331,0.1293888092041015625000, 0.0836355686187744140625
337,0.3524584770202636718750, 0.1296823024749755859375
359,0.1474282741546630859375, 0.0879945755004882812500
404,0.4133436679840087890625, 0.1761028766632080078125
453,0.2401952743530273437500, 0.1075885295867919921875
467,0.5677421092987060546875, 0.2534780502319335937500
499,0.3409187793731689453125, 4.64075183868408203125
528,0.3293724060058593750000, 0.1211516857147216796875
551,0.3501720428466796875000, 0.114164829254150390625
623,0.4566614627838134765625, 0.1426005363464355468750
650,0.5258347988128662109375, 0.141881942749023437500
652,0.49164390563964843750, 0.1615827083587646484375
659,0.9699800014495849609375, 0.2313878536224365234375
670,0.9093205928802490234375, 0.3753454685211181640625
892,0.9257085323333740234375, 0.2076065540313720703125
918,0.9853849411010742187500, 0.21253395080566406250
926,0.9863913059234619140625, 0.2141396999359130859375
1000,1.9104979038238525390625, 0.4652812480926513671875
1100,1.3980028629302978515625, 0.2500290870666503906250
1197,1.6382379531860351562500, 0.276113033294677734375
1275,3.6451511383056640625000, 0.56477832794189453125
1338,2.040125370025634765625, 0.3166568279266357421875
1347,3.7785460948944091796875, 0.55329418182373046875
1433,3.988117694854736328125, 0.8267667293548583984375
1482,2.4916071891784667968750, 0.3296515941619873046875
1495,4.7426207065582275390625, 0.642501354217529296875
1529,2.690087318420410156250, 0.3402233123779296875000
1532,4.8256742954254150390625, 0.5617249011993408203125
1538,2.6943745613098144531250, 0.3507089614868164062500
1546,2.760704517364501953125, 0.3383533954620361328125
1682,3.2301733493804931640625, 0.3815393447875976562500
1693,3.378841876983642578125, 0.389689922332763671875
1755,6.3543181419372558593750, 0.6329314708709716796875
1803,6.7411360740661621093750, 0.6164190769195556640625
1852,4.011065006256103515625, 0.4232525825500488281250
1977,4.9026045799255371093750, 0.4526865482330322265625
1981,7.77931499481201171875, 0.771714687347412109375
2101,9.6248056888580322265625, 1.0853590965270996093750
2153,9.7432124614715576171875, 0.878676414489746093750
2191,5.6006557941436767578125, 0.4963209629058837890625
2205,5.5792422294616699218750, 0.5017726421356201171875
2317,6.1699805259704589843750, 0.5307581424713134765625
2342,11.13398456573486328125, 1.04777908325195312500
2412,7.123800754547119140625, 0.5775902271270751953125
2588,13.9053623676300048828125, 1.0293941497802734375
2743,15.42710399627685546875, 1.125082969665527343750
2749,9.8257787227630615234375, 0.6503579616546630859375
2777,8.9463226795196533203125, 0.6409504413604736328125
2777,15.585292816162109375000, 1.1319611072540283203125
2823,9.18284416198730468750, 0.6369168758392333984375
2837,16.9527344703674316406250, 1.146777629852294921875
2866,17.15547084808349609375, 1.3380587100982666015625
2868,9.5415632724761962890625, 0.6542465686798095703125
2905,9.697146892547607421875, 0.6389651298522949218750
2914,17.8365380764007568359375, 1.342214107513427734375
2957,10.9622833728790283203125, 0.6618695259094238281250
2973,11.2773225307464599609375, 1.4726717472076416015625
2991,10.6214668750762939453125, 0.6848568916320800781250
2993,10.318904876708984375, 0.6643464565277099609375
3001,10.4993607997894287109375, 0.6875848770141601562500
3002,10.8704674243927001953125, 0.70013999938964843750
3017,12.0364947319030761718750, 0.87304401397705078125
3056,19.3993275165557861328125, 1.1864619255065917968750
3068,19.6603710651397705078125, 1.237191200256347656250
3086,11.1274149417877197265625, 0.6968121528625488281250
3173,12.1421291828155517578125, 0.7337987422943115234375
3296,12.7331821918487548828125, 0.768395423889160156250
3327,23.7279317378997802734375, 1.4961795806884765625000
3331,23.9080061912536621093750, 1.3936784267425537109375
3333,12.8691680431365966796875, 0.7601947784423828125000
3367,23.3474972248077392578125, 1.4122016429901123046875
3462,27.7164101600646972656250, 0.7973256111145019531250
3466,16.7546331882476806640625, 0.9321930408477783203125
3482,14.4980375766754150390625, 0.8261542320251464843750
3505,14.146517276763916015625, 0.7996456623077392578125
3524,26.282929897308349609375, 1.4742271900177001953125
3532,14.3678364753723144531250, 0.806979656219482421875
3553,14.5303704738616943359375, 0.8147585391998291015625
3576,14.7867121696472167968750, 0.8262662887573242187500
3596,27.2813825607299804687500, 1.3588967323303222656250
3603,15.2273643016815185546875, 0.8474004268646240234375
3626,15.2200055122375488281250, 0.8228363990783691406250
3629,15.1972043514251708984375, 0.8225975036621093750000
3637,15.4366319179534912109375, 0.8612635135650634765625
3848,31.3466136455535888671875, 1.4123208522796630859375
3910,22.8578560352325439453125, 1.0755982398986816406250
4015,20.3766937255859375000000, 0.9546930789947509765625
4026,25.8612756729125976562500, 1.1248822212219238281250
4097,34.8773314952850341796875, 1.7797985076904296875000
4102,23.3573551177978515625000, 0.9384396076202392578125
4105,20.7218766212463378906250, 0.951876163482666015625
4135,21.0408151149749755859375, 0.9703524112701416015625
4144,19.8659846782684326171875, 0.9588892459869384765625
4179,20.765706539154052734375, 0.9410390853881835937500
4251,21.3605222702026367187500, 0.9832448959350585937500
4254,21.911419391632080078125, 0.9837977886199951171875
4551,45.6416800022125244140625, 1.9211394786834716796875
4553,46.4184162616729736328125, 1.9910404682159423828125
